"id_Filme"	"Titulo"	"director"	"cast"	"country"	"data_lancamento"	"Classificacao_indicativa"	"Duracao_min"	"Sinopse"	"listed_in"
"1"	"Dick Johnson Is Dead"	"Kirsten Johnson"		"United States"	"2020"	"PG-13"	"90 min"	"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."	"Documentarios"
"2"	"My Little Pony: A New Generation"	"Robert Cullen, José Luis Ucha"	"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr"		"2021"	"PG"	"91 min"	"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."	"Filmes familiares e infantis"
"3"	"Sankofa"	"Haile Gerima"	"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri"	"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia"	"1993"	"TV-MA"	"125 min"	"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."	"Dramas, Filmes Independentes, Filmes Internacionais"
"4"	"The Starling"	"Theodore Melfi"	"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor"	"United States"	"2021"	"PG-13"	"104 min"	"A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward."	"Comedias, Dramas"
"5"	"Je Suis Karl"	"Christian Schwochow"	"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová"	"Germany, Czech Republic"	"2021"	"TV-MA"	"127 min"	"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."	"Dramas, Filmes Internacionais"
"6"	"Confessions of an Invisible Girl"	"Bruno Garotti"	"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo"		"2021"	"TV-PG"	"91 min"	"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."	"Filmes familiares e infantis, Comedias"
"7"	"Europe's Most Dangerous Man: Otto Skorzeny in Spain"	"Pedro de Echave García, Pablo Azorín Williams"			"2020"	"TV-MA"	"67 min"	"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."	"Documentarios, Filmes Internacionais"
"8"	"Intrusion"	"Adam Salky"	"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain"		"2021"	"TV-14"	"94 min"	"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."	"Thrillers"
"9"	"Avvai Shanmughi"	"K.S. Ravikumar"	"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam"		"1996"	"TV-PG"	"161 min"	"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."	"Comedias, Filmes Internacionais"
"10"	"Go! Go! Cory Carson: Chrissy Takes the Wheel"	"Alex Woo, Stanley Moore"	"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim"		"2021"	"TV-Y"	"61 min"	"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"	"Filmes familiares e infantis"
